Year,maxT much above normal,maxT much below normal,minT much above normal,minT much below normal,precip much above normal,precip much below normal,Season,Region
1987,0.0,0.3,0.0,0.0,26.1,2.2,Winter,Southeast
1988,0.0,0.0,0.0,0.0,2.4,4.6,Winter,Southeast
1989,19.0,0.0,0.0,0.0,0.0,17.4,Winter,Southeast
1990,0.1,0.0,0.0,0.0,7.2,0.0,Winter,Southeast
1991,17.4,0.0,22.8,0.0,28.2,0.0,Winter,Southeast
1992,17.4,0.0,0.9,0.0,4.8,0.0,Winter,Southeast
1993,0.0,0.0,0.4,0.0,11.9,0.0,Winter,Southeast
1994,0.0,0.3,0.0,0.0,6.7,4.4,Winter,Southeast
1995,0.0,0.0,0.0,0.0,9.4,6.9,Winter,Southeast
1996,0.0,0.0,0.0,0.0,2.3,12.0,Winter,Southeast
1997,2.8,0.0,0.5,0.0,15.8,4.8,Winter,Southeast
1998,0.8,0.0,19.3,0.0,52.4,0.0,Winter,Southeast
1999,95.1,0.0,24.3,0.0,4.6,2.5,Winter,Southeast
2000,5.0,0.0,0.0,0.0,0.0,11.7,Winter,Southeast
2001,0.0,0.2,0.0,0.1,0.0,14.2,Winter,Southeast
2002,45.8,0.0,4.2,0.0,0.0,18.3,Winter,Southeast
2003,0.0,8.3,0.0,1.6,4.8,5.1,Winter,Southeast
2004,0.0,0.5,0.0,0.9,2.5,0.0,Winter,Southeast
2005,0.1,0.0,0.0,0.0,0.0,14.7,Winter,Southeast
2006,0.0,0.0,0.0,0.0,4.9,0.0,Winter,Southeast
2007,1.2,0.0,6.5,0.0,2.6,23.8,Winter,Southeast
2008,17.6,0.0,6.5,0.0,5.0,2.4,Winter,Southeast
2009,0.0,0.0,0.0,0.0,2.3,9.7,Winter,Southeast
2010,0.0,89.9,0.0,22.0,12.0,0.0,Winter,Southeast
2011,0.0,11.8,0.0,30.5,0.0,21.7,Winter,Southeast
2012,80.0,0.0,19.9,0.0,5.7,11.2,Winter,Southeast
2013,21.4,0.0,26.8,0.0,16.2,0.0,Winter,Southeast
2014,2.1,0.2,4.7,1.6,20.9,2.9,Winter,Southeast
